,APR DRG Code,County,Weighted avg,Total Population,Median age,Number of Households,Median Income
311,26,Livingston,31020.17,64373,40.4,24432,53654
312,26,Madison,7664.72,71760,41.3,26307,58365
313,26,Monroe,36696.89,748680,38.6,300496,55272
314,26,Montgomery,30023.67,49500,41.1,19700,47449
315,26,Nassau,93466.5,1363069,41.5,444136,105744
316,26,New York,72244.91,1653877,37.1,758345,79781
317,26,Niagara,33975.18,212675,43,87978,51656
318,26,Oneida,35882.21,232324,41,90472,51316
319,26,Onondaga,53479.58,467669,38.8,185840,57271
320,26,Ontario,27909.16,109491,43.4,44269,61710
321,26,Orange,75971.24,378174,36.9,126460,75146
322,26,Orleans,16251,41584,42.8,16214,49223
323,26,Oswego,32481.54,119833,39.8,45881,51755
324,26,Otsego,40762.62,60750,42,23627,51254
325,26,Putnam,68102.4,99464,43.8,34316,99608
326,26,Queens,69016.87,2339280,38.3,777904,62008
327,26,Rensselaer,62338.72,159800,39.9,64456,63166
328,26,Richmond,72178.64,475948,39.9,166150,76244
329,26,Rockland,90884.44,325027,36.2,99935,88571
330,26,Saint Lawrence,23789.52,,,,
331,26,Saratoga,37440.87,226632,42.3,93129,77548
332,26,Schenectady,55260.02,155239,39.8,53825,61315
333,26,Schuyler,6861,18112,45.7,7444,47810
334,26,Steuben,20686.48,97539,42.4,40351,50157
335,26,Suffolk,81325.33,1497595,41,489328,92838
336,26,Sullivan,58583.74,75783,42.6,27679,53877
337,26,Tompkins,24635.85,104415,30.4,38986,56200
338,26,Ulster,52944.94,180129,43.6,69662,61652
339,26,Warren,32752.52,64701,46.2,27249,60222
340,26,Wayne,24952.01,91442,43.6,36578,53693
341,26,Westchester,97425.63,975321,40.6,345885,89968
342,40,Albany,48631.08,308580,37.8,125376,62293
343,40,Allegany,6111.08,47400,38.6,18124,45359
344,40,Bronx,59128.49,1455846,33.6,495356,36593
345,40,Broome,20558.88,196124,39.6,78821,49064
346,40,Cayuga,17494.37,78319,42.5,31428,54664
347,40,Chautauqua,12021.74,130846,42.3,52983,44304
348,40,Chemung,25117.69,86883,41.2,34664,51251
349,40,Chenango,4289.7,48763,44.4,20373,48567
350,40,Clinton,27432.16,81224,39.4,31680,52759
351,40,Columbia,28924.82,61481,47.4,25470,61093
352,40,Cortland,10549.69,48334,36.2,17925,52451
353,40,Delaware,14960.95,45950,47,19098,47921
354,40,Dutchess,62344.2,295685,41.8,107384,75585
355,40,Erie,33002.47,923995,40.3,386371,54006
356,40,Franklin,15013.98,51054,40.5,18956,50733
357,40,Fulton,24026.25,53955,43.4,22535,48033
358,40,Genesee,36677,58537,43.2,23951,54033
